month_on_production,well_count,p25_oil_bbl,p50_oil_bbl,p75_oil_bbl,p50_gas_mcf,p50_boe,cumulative_p50_oil_bbl,cumulative_p50_gas_mcf
1,30,8084.5,12627.5,24639.25,11096.5,14476.916666666666,12627.5,11096.5
2,30,18698.0,29502.5,37033.5,28822.0,34306.16666666667,42130.0,39918.5
3,30,17653.75,22872.5,27133.25,24213.0,26560.416666666664,65002.5,64131.5
4,30,15772.25,18845.5,23185.75,24330.5,22707.083333333336,83848.0,88462.0
5,30,13165.75,17784.5,21928.5,22334.0,21251.083333333332,101632.5,110796.0
6,30,11283.0,14556.0,19541.25,22573.0,17443.0,116188.5,133369.0
7,30,10055.0,13961.0,17097.75,23552.0,17363.0,130149.5,156921.0
8,30,7840.25,10253.5,13603.0,18428.5,13729.0,140403.0,175349.5
9,30,5144.25,8815.5,11917.25,16371.0,11610.0,149218.5,191720.5
10,30,6395.75,8958.5,11389.5,12644.0,10875.916666666666,158177.0,204364.5
11,30,6850.25,9077.5,11294.25,15892.5,11738.25,167254.5,220257.0
12,30,5778.75,7939.5,10296.0,14184.5,10519.416666666666,175194.0,234441.5
13,30,4988.0,7201.5,9896.5,14681.5,9659.25,182395.5,249123.0
14,30,4098.75,6255.5,8520.0,12894.5,8658.166666666668,188651.0,262017.5
15,30,5592.0,7631.5,8991.25,14887.5,10019.5,196282.5,276905.0
16,30,5733.5,7330.0,8331.0,13809.0,9931.75,203612.5,290714.0
17,30,5346.5,6251.5,7434.75,14397.0,8659.5,209864.0,305111.0
18,30,4500.5,5367.5,6518.0,12903.5,7854.416666666666,215231.5,318014.5
19,30,4190.0,5117.0,6486.5,14061.5,7473.166666666667,220348.5,332076.0
20,30,3088.25,4874.0,6589.75,12903.0,6800.333333333334,225222.5,344979.0
21,30,3408.0,4397.5,5667.25,12085.5,6544.0,229620.0,357064.5
22,30,3156.75,4163.5,5825.25,13292.5,6740.666666666667,233783.5,370357.0
23,30,3124.75,4655.5,5801.0,14181.5,6771.0,238439.0,384538.5
24,30,2839.75,3190.5,4650.0,12165.0,5639.583333333333,241629.5,396703.5
25,30,2562.5,4438.5,6063.75,14878.5,6824.166666666666,246068.0,411582.0
26,30,2793.5,4743.0,5803.25,15320.0,7610.25,250811.0,426902.0
27,30,3009.75,4423.5,5285.0,13828.5,6491.916666666666,255234.5,440730.5
28,30,2747.0,4151.0,5034.5,14116.5,6463.916666666667,259385.5,454847.0
29,30,2440.0,3716.0,4737.5,12568.5,6154.25,263101.5,467415.5
30,30,2106.0,3421.5,4152.25,11643.0,5509.083333333334,266523.0,479058.5
31,30,1895.25,3141.5,4378.5,10880.0,5294.75,269664.5,489938.5
32,30,2077.25,2863.5,4341.0,12805.0,5228.416666666666,272528.0,502743.5
33,30,1855.5,3250.0,4202.75,11993.5,5340.75,275778.0,514737.0
34,27,0.0,684.0,3607.0,3341.0,1240.8333333333335,276462.0,518078.0
35,27,0.0,1543.0,3665.5,5137.0,2598.1666666666665,278005.0,523215.0
36,27,0.0,366.0,1700.0,1656.0,642.0,278371.0,524871.0
37,14,1368.0,2112.5,4044.5,7055.0,3691.5833333333335,280483.5,531926.0
38,14,1674.75,3040.0,3564.25,7027.0,4332.583333333334,283523.5,538953.0
39,14,1853.5,2569.0,3930.25,9148.5,5224.833333333334,286092.5,548101.5
40,14,2240.0,2816.5,3889.5,10336.0,5065.75,288909.0,558437.5
41,14,1756.25,2454.5,2921.5,8631.5,3549.083333333333,291363.5,567069.0
42,14,1714.75,2358.5,3524.25,6531.0,3597.166666666667,293722.0,573600.0
43,14,1682.75,2479.0,2639.5,8793.0,3996.916666666667,296201.0,582393.0
44,14,0.0,0.0,1131.0,0.0,0.0,296201.0,582393.0
45,14,0.0,0.0,0.0,0.0,0.0,296201.0,582393.0
46,12,0.0,0.0,0.0,0.0,0.0,296201.0,582393.0
47,4,0.0,0.0,827.75,0.0,0.0,296201.0,582393.0
48,1,4521.0,4521.0,4521.0,20918.0,8007.333333333334,300722.0,603311.0
49,1,3723.0,3723.0,3723.0,17747.0,6680.833333333334,304445.0,621058.0
50,1,4424.0,4424.0,4424.0,17103.0,7274.5,308869.0,638161.0
51,1,4260.0,4260.0,4260.0,18561.0,7353.5,313129.0,656722.0
52,1,0.0,0.0,0.0,0.0,0.0,313129.0,656722.0
53,1,0.0,0.0,0.0,0.0,0.0,313129.0,656722.0
54,1,0.0,0.0,0.0,0.0,0.0,313129.0,656722.0
