api8,district,lease_no,well_no,lease_name,operator_name,field_name,first_prod_month,cycle_year_month,month_on_production,oil_bbl,casinghead_gas_mcf,boe,interval_length_proxy_ft,reported_first_month,first_positive_prod_month,reported_month_on_production
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202201,1,27270.0,26374.0,31665.666666666668,10036.0,202201,202201,1
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202202,2,25100.0,24522.0,29187.0,10036.0,202201,202201,2
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202203,3,22589.0,23927.0,26576.833333333332,10036.0,202201,202201,3
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202204,4,18960.0,20036.0,22299.333333333332,10036.0,202201,202201,4
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202205,5,18050.0,17744.0,21007.333333333332,10036.0,202201,202201,5
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202206,6,17565.0,21751.0,21190.166666666668,10036.0,202201,202201,6
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202207,7,16494.0,29884.0,21474.666666666668,10036.0,202201,202201,7
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202208,8,14510.0,31527.0,19764.5,10036.0,202201,202201,8
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202209,9,13854.0,31856.0,19163.333333333332,10036.0,202201,202201,9
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202210,10,12594.0,33530.0,18182.333333333332,10036.0,202201,202201,10
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202211,11,10711.0,30336.0,15767.0,10036.0,202201,202201,11
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202212,12,10582.0,36607.0,16683.166666666668,10036.0,202201,202201,12
