api8,lease_name,well_no,cumulative_oil_bbl
31744057,DAVIS-LACY 31I,209H,379032.0
31744061,EPLEY-MARTIN 31C,103H,373983.0
31744064,EPLEY-MARTIN 31I,109H,359049.0
31744407,DAVIS-LACY 31L,212H,338223.0
31744068,DAVIS-LACY 31E,205H,326540.0
31743568,WELCH-COX E39T,320H,318373.0
31744066,EPLEY-MARTIN 31K,111H,306077.0
31743549,WELCH-COX E39V,322H,295179.0
31743171,BOHANAN-BLOCKER 3B,4H,289203.0
31744067,DAVIS-LACY 31F,206H,274275.0
31744072,DAVIS-LACY 31A,201H,263517.0
31744071,DAVIS-LACY 31B,202H,257582.0
31744053,EPLEY-MARTIN 31D,104H,253281.0
31743816,SCHARBAUER-DOVE 7D,4H,253187.0
31744051,EPLEY-MARTIN 31E,105H,246924.0
31743818,SCHARBAUER-DOVE 7F,6H,242487.0
31743755,GLYNN-ATCHISON 44N,214H,238619.0
31744056,DAVIS-LACY 31J,210H,227107.0
31744059,DAVIS-LACY 31G,207H,221754.0
31744070,DAVIS-LACY 31C,203H,216034.0
31744782,FORTUNE-ASHLEY 31M,213H,215427.0
31744055,DAVIS-LACY 31K,211H,212835.0
31743759,GLYNN-ATCHISON 44L,212H,198400.0
31744052,EPLEY-MARTIN 31F,106H,192110.0
31744060,EPLEY-MARTIN 31G,107H,187993.0
31744063,EPLEY-MARTIN 31H,108H,183941.0
31744069,DAVIS-LACY 31D,204H,166364.0
31743757,GLYNN-ATCHISON 44M,213H,132642.0
31744058,DAVIS-LACY 31H,208H,128978.0
31743566,WELCH-COX E39A,301H,123461.0
