api8,well_name,lease_name,well_no,reservoir_or_conduit_target,historical_cumulative_oil_bbl,exponential_technical_recoverable_oil_bbl,hyperbolic_technical_recoverable_oil_bbl,harmonic_technical_recoverable_oil_bbl
31743568,WELCH-COX E39T 320H,WELCH-COX E39T,320H,SPRABERRY (TREND AREA),344557.0,,839947.793361976,839294.6174780319
31744051,EPLEY-MARTIN 31E 105H,EPLEY-MARTIN 31E,105H,SPRABERRY (TREND AREA),298635.0,,760318.3218821115,759709.5895118022
31743816,SCHARBAUER-DOVE 7D 4H,SCHARBAUER-DOVE 7D,4H,SPRABERRY (TREND AREA),300628.0,616733.4409770735,633225.1064111643,631635.1120582165
31744057,DAVIS-LACY 31I 209H,DAVIS-LACY 31I,209H,SPRABERRY (TREND AREA),434886.0,487786.91682611866,576977.3045734719,607206.3990163723
31744063,EPLEY-MARTIN 31H 108H,EPLEY-MARTIN 31H,108H,SPRABERRY (TREND AREA),217058.0,524237.1915257981,518829.50313028257,547948.4600438413
31744069,DAVIS-LACY 31D 204H,DAVIS-LACY 31D,204H,SPRABERRY (TREND AREA),179088.0,,498822.27066530136,499696.30890175456
31744407,DAVIS-LACY 31L 212H,DAVIS-LACY 31L,212H,SPRABERRY (TREND AREA),376732.0,463908.8899614125,475300.3072998208,598297.0635016768
31744061,EPLEY-MARTIN 31C 103H,EPLEY-MARTIN 31C,103H,SPRABERRY (TREND AREA),420319.0,468249.0942357532,472539.5722522276,607891.5649809476
31744072,DAVIS-LACY 31A 201H,DAVIS-LACY 31A,201H,SPRABERRY (TREND AREA),301751.0,364537.77231963014,469189.7350131838,462973.7555028173
31743818,SCHARBAUER-DOVE 7F 6H,SCHARBAUER-DOVE 7F,6H,SPRABERRY (TREND AREA),280152.0,438721.27187512745,436713.610261603,522841.49310537765
31744064,EPLEY-MARTIN 31I 109H,EPLEY-MARTIN 31I,109H,SPRABERRY (TREND AREA),400302.0,424230.95241306047,430704.4254483516,592391.8991990625
31744068,DAVIS-LACY 31E 205H,DAVIS-LACY 31E,205H,SPRABERRY (TREND AREA),353189.0,371506.5436920077,410596.7608017332,482193.9543936435
31744066,EPLEY-MARTIN 31K 111H,EPLEY-MARTIN 31K,111H,SPRABERRY (TREND AREA),344225.0,363478.1090901681,366742.16030362033,531073.2055775145
31744071,DAVIS-LACY 31B 202H,DAVIS-LACY 31B,202H,SPRABERRY (TREND AREA),283432.0,349077.2756579338,356482.6205181948,451591.12341423566
31743759,GLYNN-ATCHISON 44L 212H,GLYNN-ATCHISON 44L,212H,SPRABERRY (TREND AREA),218605.0,311445.65546591947,351655.9056914359,342740.4375976857
31743171,BOHANAN-BLOCKER 3B 4H,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),326038.0,343706.996089001,347532.9959862177,490108.53312309505
31744067,DAVIS-LACY 31F 206H,DAVIS-LACY 31F,206H,SPRABERRY (TREND AREA),312514.0,322121.53337724716,334516.47539597657,470427.12016847887
31744053,EPLEY-MARTIN 31D 104H,EPLEY-MARTIN 31D,104H,SPRABERRY (TREND AREA),289424.0,322815.5788142578,326423.87712098,422324.9154101345
31744060,EPLEY-MARTIN 31G 107H,EPLEY-MARTIN 31G,107H,SPRABERRY (TREND AREA),211245.0,252620.8683143483,325062.56440178707,325450.4338007954
31743755,GLYNN-ATCHISON 44N 214H,GLYNN-ATCHISON 44N,214H,SPRABERRY (TREND AREA),285178.0,299002.9246496006,321322.9979438193,451924.08228164515
31743549,WELCH-COX E39V 322H,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),305865.0,314593.0954786528,316569.63677999127,441445.9381879908
31744059,DAVIS-LACY 31G 207H,DAVIS-LACY 31G,207H,SPRABERRY (TREND AREA),250609.0,269289.34137016255,310487.8791611679,365290.21479076636
31744782,FORTUNE-ASHLEY 31M 213H,FORTUNE-ASHLEY 31M,213H,SPRABERRY (TREND AREA),249941.0,290099.80111512094,295703.6778827645,382137.3499830407
31744055,DAVIS-LACY 31K 211H,DAVIS-LACY 31K,211H,SPRABERRY (TREND AREA),262086.0,269887.80472135433,275636.00925683265,391936.3328910935
31743757,GLYNN-ATCHISON 44M 213H,GLYNN-ATCHISON 44M,213H,SPRABERRY (TREND AREA),168346.0,247418.79505540698,266176.892836927,258430.815882286
31744056,DAVIS-LACY 31J 210H,DAVIS-LACY 31J,210H,SPRABERRY (TREND AREA),243014.0,250178.6958762286,252053.63899630832,345927.4242807739
31744052,EPLEY-MARTIN 31F 106H,EPLEY-MARTIN 31F,106H,SPRABERRY (TREND AREA),216548.0,244084.64044434915,247915.43280375114,317704.97705285554
31744070,DAVIS-LACY 31C 203H,DAVIS-LACY 31C,203H,SPRABERRY (TREND AREA),238267.0,243005.82440839012,244232.28231902688,311473.0849719296
31744058,DAVIS-LACY 31H 208H,DAVIS-LACY 31H,208H,SPRABERRY (TREND AREA),145934.0,151016.139117045,152083.60838520306,239670.19799795898
31743566,WELCH-COX E39A 301H,WELCH-COX E39A,301H,SPRABERRY (TREND AREA),132224.0,139111.26844882028,140275.097546446,188638.63404484466
