api8,lease_name,well_no,actual_test_oil_bbl,exponential_forecast_test_oil_bbl,exponential_error_bbl,exponential_percent_error,exponential_absolute_percent_error,exponential_qi_bbl_per_month,exponential_di_per_month,exponential_di_percent_per_month,hyperbolic_forecast_test_oil_bbl,hyperbolic_error_bbl,hyperbolic_percent_error,hyperbolic_absolute_percent_error,hyperbolic_qi_bbl_per_month,hyperbolic_di_per_month,hyperbolic_di_percent_per_month,hyperbolic_b_factor,harmonic_forecast_test_oil_bbl,harmonic_error_bbl,harmonic_percent_error,harmonic_absolute_percent_error,harmonic_qi_bbl_per_month,harmonic_di_per_month,harmonic_di_percent_per_month,harmonic_b_factor,best_model
31744055,DAVIS-LACY 31K,211H,49251.0,14020.293239232133,-35230.70676076787,-71.53297752485811,71.53297752485811,41030.02397564015,0.114281905353988,11.428190535398809,15287.788776497157,-33963.21122350285,-68.95943478001024,68.95943478001024,57064.44981786477,0.1581818181818182,15.81818181818182,0.1387755102040816,30401.491025503616,-18849.508974496384,-38.27233756572737,38.27233756572737,42274.62982924852,0.4,40.0,1.0,harmonic
31744070,DAVIS-LACY 31C,203H,22233.0,8156.221462008486,-14076.778537991517,-63.31479574502548,63.31479574502548,21892.731349220423,0.1112238245368106,11.122382453681068,8509.39676958153,-13723.60323041847,-61.726277292396304,61.726277292396304,23618.308361766343,0.1219090909090909,12.190909090909091,0.05,17139.533536298124,-5093.466463701876,-22.909487984985724,22.909487984985724,23833.28617287748,0.4,40.0,1.0,harmonic
31743755,GLYNN-ATCHISON 44N,214H,46559.0,20579.5720416004,-25979.427958399603,-55.79893889129836,55.79893889129836,41702.86031540993,0.1012916798071757,10.129167980717574,23537.87953314885,-23021.120466851145,-49.44504922109827,49.44504922109827,96328.90480559463,0.2347575757575757,23.475757575757576,0.3163265306122448,39039.78843300317,-7519.211566996833,-16.14985624046228,16.14985624046228,54286.56782763987,0.4,40.0,1.0,harmonic
31744067,DAVIS-LACY 31F,206H,38239.0,17140.781224185997,-21098.218775814003,-55.17460910540025,55.17460910540025,49435.84353727548,0.1137657464813862,11.376574648138629,19420.193084320505,-18818.80691567949,-49.21364814895655,49.21364814895655,96107.0886218586,0.2105757575757576,21.05757575757576,0.2275510204081632,36971.75200650236,-1267.2479934976436,-3.3140197010843475,3.3140197010843475,51410.87089782867,0.4,40.0,1.0,harmonic
31743757,GLYNN-ATCHISON 44M,213H,35704.0,19320.026627478128,-16383.973372521872,-45.88834128535142,45.88834128535142,3894.710714363529,0.0205901568463505,2.059015684635059,17841.876108202727,-17862.123891797273,-50.0283550632906,50.0283550632906,13762.116992523494,0.4,40.0,1.5,18050.56605721506,-17653.43394278494,-49.44385487000039,49.44385487000039,5939.838838758126,0.068,6.800000000000001,1.0,exponential
31744058,DAVIS-LACY 31H,208H,16956.0,9688.738388789485,-7267.261611210515,-42.85952825672632,42.85952825672632,31980.894710170644,0.1185448310485395,11.85448310485395,9908.705202724432,-7047.294797275568,-41.56224815567096,41.56224815567096,36730.59023825317,0.134,13.4,0.05,21946.190808689447,4990.190808689447,29.430235955941537,29.430235955941537,30517.15759010321,0.4,40.0,1.0,harmonic
31743171,BOHANAN-BLOCKER 3B,4H,36835.0,22484.905485035182,-14350.094514964818,-38.957769824799286,38.957769824799286,34211.38283554976,0.0911897062274496,9.118970622744966,23257.641480284496,-13577.358519715504,-36.85993897031493,36.85993897031493,35669.86797962791,0.0977272727272727,9.772727272727275,0.05,38413.36967903528,1578.3696790352842,4.284972659251484,4.284972659251484,53415.504598541134,0.4,40.0,1.0,harmonic
31744057,DAVIS-LACY 31I,209H,55854.0,34428.14691303443,-21425.853086965573,-38.360463148504266,38.360463148504266,18846.418719420813,0.0553400047701258,5.534000477012589,37686.963839066186,-18167.03616093381,-32.525935762763304,32.525935762763304,68834.78168405539,0.4,40.0,0.8489795918367347,40344.88743745668,-15509.11256254332,-27.767237015331613,27.767237015331613,56101.366228728446,0.4,40.0,1.0,harmonic
31744059,DAVIS-LACY 31G,207H,28855.0,18399.33106872952,-10455.668931270484,-36.23520683164264,36.23520683164264,18226.48122963247,0.0761040012611027,7.610400126110278,21309.773819125952,-7545.226180874048,-26.148765139054053,26.148765139054053,71225.53096277418,0.4,40.0,0.6122448979591837,26849.98832601743,-2005.011673982572,-6.948576239759389,6.948576239759389,37336.106852450925,0.4,40.0,1.0,harmonic
31744066,EPLEY-MARTIN 31K,111H,38148.0,25164.41902471845,-12983.580975281551,-34.03476191486199,34.03476191486199,40153.75228016949,0.0928651137536851,9.286511375368514,25603.704354628702,-12544.295645371294,-32.88323279168316,32.88323279168316,43408.64360178701,0.1017575757575757,10.175757575757578,0.05,43746.24168087819,5598.241680878193,14.675059454960136,14.675059454960136,60831.10107752791,0.4,40.0,1.0,harmonic
31744064,EPLEY-MARTIN 31I,109H,41253.0,27859.124814898867,-13393.875185101131,-32.46763916588159,32.46763916588159,36318.716810447535,0.0857512468276858,8.575124682768582,28659.92848452118,-12593.07151547882,-30.52643811475243,30.52643811475243,40087.67151776679,0.0977272727272727,9.772727272727275,0.0795918367346938,44973.46457700727,3720.464577007268,9.018652163496636,9.018652163496636,62537.60927504732,0.4,40.0,1.0,harmonic
31744053,EPLEY-MARTIN 31D,104H,36143.0,24849.50969855411,-11293.49030144589,-31.24668760602576,31.24668760602576,16264.784948303904,0.0615861773207047,6.158617732070475,25025.700865382296,-11117.299134617704,-30.75920409102096,30.75920409102096,16851.03347257945,0.0654848484848484,6.54848484848485,0.05,31115.715278998345,-5027.284721001655,-13.909428439813118,13.909428439813118,43267.790523447096,0.4,40.0,1.0,harmonic
31744068,DAVIS-LACY 31E,205H,26649.0,19665.84473904663,-6983.155260953368,-26.20419250611043,26.20419250611043,22384.637166489585,0.0809820433524683,8.098204335246836,22638.304632305622,-4010.695367694374,-15.050078305731448,15.050078305731448,91298.66029016844,0.395969696969697,39.5969696969697,0.5530612244897959,30203.56494991215,3554.56494991215,13.338455288799391,13.338455288799391,41999.40478939222,0.4,40.0,1.0,harmonic
31744056,DAVIS-LACY 31J,210H,15907.0,11819.848437007477,-4087.1515629925234,-25.694043898865427,25.694043898865427,29182.041286664906,0.1082676727313433,10.82676727313434,12354.858549276503,-3552.141450723495,-22.33068115121327,22.33068115121327,31105.999373310868,0.1178787878787878,11.787878787878787,0.05,24094.828831127285,8187.828831127284,51.47311769112519,51.47311769112519,33504.93463562407,0.4,40.0,1.0,hyperbolic
31744061,EPLEY-MARTIN 31C,103H,46336.0,35272.20988288791,-11063.79011711209,-23.877309472358625,23.877309472358625,22734.569265108825,0.0610485313761103,6.10485313761103,35320.56109079088,-11015.438909209122,-23.77296035309289,23.77296035309289,23783.068470802333,0.0654848484848484,6.54848484848485,0.05,43915.83389841359,-2420.1661015864083,-5.223079466476192,5.223079466476192,61066.92662345971,0.4,40.0,1.0,harmonic
31744782,FORTUNE-ASHLEY 31M,213H,34514.0,26321.924151192023,-8192.075848807974,-23.735515584423634,23.735515584423634,14541.704139544225,0.0556602810497059,5.566028104970595,26431.831067231647,-8082.168932768352,-23.41707403595165,23.41707403595165,15387.040872227411,0.0614545454545454,6.145454545454546,0.0795918367346938,30950.75736913579,-3563.24263086421,-10.324050040169814,10.324050040169814,43038.40918912385,0.4,40.0,1.0,harmonic
31744052,EPLEY-MARTIN 31F,106H,24438.0,19429.059026603696,-5008.940973396304,-20.496525793421327,20.496525793421327,11827.844860524348,0.0590519808015415,5.905198080154153,19769.849489352844,-4668.150510647156,-19.10201534760273,19.10201534760273,11977.235686297196,0.0614545454545454,6.145454545454546,0.05,23683.59681155967,-754.4031884403303,-3.087008709552052,3.087008709552052,32933.09816265072,0.4,40.0,1.0,harmonic
