api8,lease_name,well_no,model,forecast_cumulative_oil_bbl,historical_cumulative_oil_bbl,eur_style_oil_bbl,first_month_below_threshold,reaches_low_rate_threshold_by_month_120
31743816,SCHARBAUER-DOVE 7D,4H,exponential,316105.44097707357,300628.0,616733.4409770735,,False
31744063,EPLEY-MARTIN 31H,108H,exponential,307179.1915257981,217058.0,524237.1915257981,,False
31744057,DAVIS-LACY 31I,209H,exponential,52900.91682611865,434886.0,487786.91682611866,,False
31744061,EPLEY-MARTIN 31C,103H,exponential,47930.094235753146,420319.0,468249.0942357532,,False
31744407,DAVIS-LACY 31L,212H,exponential,87176.88996141253,376732.0,463908.8899614125,,False
31743818,SCHARBAUER-DOVE 7F,6H,exponential,158569.27187512745,280152.0,438721.27187512745,,False
31744064,EPLEY-MARTIN 31I,109H,exponential,23928.952413060473,400302.0,424230.95241306047,96.0,True
31744068,DAVIS-LACY 31E,205H,exponential,18317.54369200772,353189.0,371506.5436920077,96.0,True
31744072,DAVIS-LACY 31A,201H,exponential,62786.77231963013,301751.0,364537.77231963014,,False
31744066,EPLEY-MARTIN 31K,111H,exponential,19253.10909016809,344225.0,363478.1090901681,90.0,True
31744071,DAVIS-LACY 31B,202H,exponential,65645.27565793382,283432.0,349077.2756579338,,False
31743171,BOHANAN-BLOCKER 3B,4H,exponential,17668.99608900103,326038.0,343706.996089001,90.0,True
31744053,EPLEY-MARTIN 31D,104H,exponential,33391.57881425781,289424.0,322815.5788142578,,False
31744067,DAVIS-LACY 31F,206H,exponential,9607.53337724718,312514.0,322121.53337724716,75.0,True
31743549,WELCH-COX E39V,322H,exponential,8728.09547865282,305865.0,314593.0954786528,75.0,True
31743759,GLYNN-ATCHISON 44L,212H,exponential,92840.65546591945,218605.0,311445.65546591947,,False
31743755,GLYNN-ATCHISON 44N,214H,exponential,13824.924649600593,285178.0,299002.9246496006,83.0,True
31744782,FORTUNE-ASHLEY 31M,213H,exponential,40158.801115120914,249941.0,290099.80111512094,,False
31744055,DAVIS-LACY 31K,211H,exponential,7801.804721354335,262086.0,269887.80472135433,73.0,True
31744059,DAVIS-LACY 31G,207H,exponential,18680.34137016254,250609.0,269289.34137016255,99.0,True
31744060,EPLEY-MARTIN 31G,107H,exponential,41375.868314348314,211245.0,252620.8683143483,,False
