month_on_production,median_oil_bbl,exp_fit_oil_bbl
1,12627.5,22751.640621068746
2,29502.5,20926.32484113007
3,22872.5,19247.450267431614
4,18845.5,17703.268233183335
5,17784.5,16282.972642165923
6,14556.0,14976.624348296868
7,13961.0,13775.081602063216
8,10253.5,12669.936077089302
9,8815.5,11653.454029156926
10,8958.5,10718.522175912367
11,9077.5,9858.597918529455
12,7939.5,9067.66355698287
13,7201.5,8340.184178532747
14,6255.5,7671.068924726686
15,7631.5,7055.635365867887
16,7330.0,6489.576733643981
17,6251.5,5968.931782612455
18,5367.5,5490.057069635024
19,5117.0,5049.601457274092
20,4874.0,4644.4826627275415
21,4397.5,4271.865688192634
22,4163.5,3929.142981715992
23,4655.5,3613.916189696428
24,3190.5,3323.979373345694
25,4438.5,3057.3035716569125
26,4743.0,2812.022602853262
27,4423.5,2586.420004956251
28,4151.0,2378.9170240844505
29,3716.0,2188.0615664254988
30,3421.5,2012.5180365679064
31,3141.5,1851.0579910819192
32,2863.5,1702.5515419437168
33,3250.0,1565.959449644625
