month_on_production,median_oil_bbl,hyperbolic_fit_oil_bbl
1.0,12627.5,36996.96137794474
2.0,29502.5,28695.17061836436
3.0,22872.5,23271.66136563284
4.0,18845.5,19472.57992951868
5.0,17784.5,16675.005056109378
6.0,14556.0,14535.970155766643
7.0,13961.0,12851.757008564062
8.0,10253.5,11494.071379781799
9.0,8815.5,10378.271065438588
10.0,8958.5,9446.355122700546
11.0,9077.5,8657.30564112776
12.0,7939.5,7981.332121999577
13.0,7201.5,7396.299274884761
14.0,6255.5,6885.431820657595
15.0,7631.5,6435.795064291212
16.0,7330.0,6037.262479585741
17.0,6251.5,5681.797939700664
18.0,5367.5,5362.946449636863
19.0,5117.0,5075.466191858727
20.0,4874.0,4815.0582984239545
21.0,4397.5,4578.165445201567
22.0,4163.5,4361.819716056334
23.0,4655.5,4163.52627099076
24.0,3190.5,3981.1733905761394
25.0,4438.5,3812.962196519598
26.0,4743.0,3657.351220564844
27.0,4423.5,3513.012298580683
28.0,4151.0,3378.7951883990563
29.0,3716.0,3253.6989694939866
30.0,3421.5,3136.84876014746
31.0,3141.5,3027.476637374969
32.0,2863.5,2924.9059035020964
33.0,3250.0,2828.5380364360753
