month_on_production,well_count,total_oil_bbl,median_oil_bbl
1,30,459595.0,12627.5
2,30,867450.0,29502.5
3,30,744848.0,22872.5
4,30,608567.0,18845.5
5,30,523316.0,17784.5
6,30,440611.0,14556.0
7,30,398758.0,13961.0
8,30,322463.0,10253.5
9,30,264622.0,8815.5
10,30,256537.0,8958.5
11,30,276029.0,9077.5
12,30,243073.0,7939.5
13,30,218253.0,7201.5
14,30,189625.0,6255.5
15,30,218785.0,7631.5
16,30,206034.0,7330.0
17,30,188649.0,6251.5
18,30,165915.0,5367.5
19,30,158343.0,5117.0
20,30,147437.0,4874.0
21,30,138197.0,4397.5
22,30,138621.0,4163.5
23,30,134531.0,4655.5
24,30,112318.0,3190.5
25,30,127318.0,4438.5
26,30,131840.0,4743.0
27,30,126643.0,4423.5
28,30,118212.0,4151.0
29,30,106757.0,3716.0
30,30,92263.0,3421.5
31,30,89965.0,3141.5
32,30,87607.0,2863.5
33,30,87610.0,3250.0
34,27,44910.0,684.0
35,27,47153.0,1543.0
36,27,30465.0,366.0
37,14,34935.0,2112.5
38,14,40208.0,3040.0
39,14,40251.0,2569.0
40,14,41600.0,2816.5
41,14,35137.0,2454.5
42,14,37378.0,2358.5
43,14,30484.0,2479.0
44,14,8551.0,0.0
45,14,3194.0,0.0
46,12,3370.0,0.0
47,4,3311.0,0.0
48,1,4521.0,4521.0
49,1,3723.0,3723.0
50,1,4424.0,4424.0
51,1,4260.0,4260.0
52,1,0.0,0.0
53,1,0.0,0.0
54,1,0.0,0.0
