api8,lease_name,well_no,fit_start_month,fit_end_month,forecast_start_month,forecast_end_month,qi_bbl_per_month,di_per_month,di_percent_per_month,actual_test_oil_bbl,forecast_test_oil_bbl,error_bbl,percent_error,absolute_percent_error
31744055,DAVIS-LACY 31K,211H,12,24,25,33,41030.02397564015,0.114281905353988,11.428190535398809,49251.0,14020.293239232133,-35230.70676076787,-71.53297752485811,71.53297752485811
31744070,DAVIS-LACY 31C,203H,12,24,25,33,21892.731349220423,0.1112238245368106,11.122382453681068,22233.0,8156.221462008486,-14076.778537991517,-63.31479574502548,63.31479574502548
31743755,GLYNN-ATCHISON 44N,214H,12,24,25,33,41702.86031540993,0.1012916798071757,10.129167980717574,46559.0,20579.5720416004,-25979.427958399603,-55.79893889129836,55.79893889129836
31744067,DAVIS-LACY 31F,206H,12,24,25,33,49435.84353727548,0.1137657464813862,11.376574648138629,38239.0,17140.781224185997,-21098.218775814003,-55.17460910540025,55.17460910540025
31743757,GLYNN-ATCHISON 44M,213H,12,24,25,33,3894.710714363529,0.0205901568463505,2.059015684635059,35704.0,19320.026627478128,-16383.973372521872,-45.88834128535142,45.88834128535142
31744058,DAVIS-LACY 31H,208H,12,24,25,33,31980.894710170644,0.1185448310485395,11.85448310485395,16956.0,9688.738388789485,-7267.261611210515,-42.85952825672632,42.85952825672632
31743171,BOHANAN-BLOCKER 3B,4H,12,24,25,33,34211.38283554976,0.0911897062274496,9.118970622744966,36835.0,22484.905485035182,-14350.094514964818,-38.957769824799286,38.957769824799286
31744057,DAVIS-LACY 31I,209H,12,24,25,33,18846.418719420813,0.0553400047701258,5.534000477012589,55854.0,34428.14691303443,-21425.853086965573,-38.360463148504266,38.360463148504266
31744059,DAVIS-LACY 31G,207H,12,24,25,33,18226.48122963247,0.0761040012611027,7.610400126110278,28855.0,18399.33106872952,-10455.668931270484,-36.23520683164264,36.23520683164264
31744066,EPLEY-MARTIN 31K,111H,12,24,25,33,40153.75228016949,0.0928651137536851,9.286511375368514,38148.0,25164.41902471845,-12983.580975281551,-34.03476191486199,34.03476191486199
31744064,EPLEY-MARTIN 31I,109H,12,24,25,33,36318.716810447535,0.0857512468276858,8.575124682768582,41253.0,27859.124814898867,-13393.875185101131,-32.46763916588159,32.46763916588159
31744053,EPLEY-MARTIN 31D,104H,12,24,25,33,16264.784948303904,0.0615861773207047,6.158617732070475,36143.0,24849.50969855411,-11293.49030144589,-31.24668760602576,31.24668760602576
31744068,DAVIS-LACY 31E,205H,12,24,25,33,22384.637166489585,0.0809820433524683,8.098204335246836,26649.0,19665.84473904663,-6983.155260953368,-26.20419250611043,26.20419250611043
31744056,DAVIS-LACY 31J,210H,12,24,25,33,29182.041286664906,0.1082676727313433,10.82676727313434,15907.0,11819.848437007477,-4087.1515629925234,-25.694043898865427,25.694043898865427
31744061,EPLEY-MARTIN 31C,103H,12,24,25,33,22734.569265108825,0.0610485313761103,6.10485313761103,46336.0,35272.20988288791,-11063.79011711209,-23.877309472358625,23.877309472358625
31744782,FORTUNE-ASHLEY 31M,213H,12,24,25,33,14541.704139544225,0.0556602810497059,5.566028104970595,34514.0,26321.924151192023,-8192.075848807974,-23.735515584423634,23.735515584423634
31744052,EPLEY-MARTIN 31F,106H,12,24,25,33,11827.844860524348,0.0590519808015415,5.905198080154153,24438.0,19429.059026603696,-5008.940973396304,-20.496525793421327,20.496525793421327
31744072,DAVIS-LACY 31A,201H,12,24,25,33,15040.37734153018,0.0476977667274045,4.769776672740454,38234.0,34202.528843704466,-4031.4711562955354,-10.544204520310544,10.544204520310544
31743566,WELCH-COX E39A,301H,12,24,25,33,10810.48720271151,0.0864967118820287,8.649671188202875,8763.0,8118.531460907924,-644.4685390920758,-7.354428153509937,7.354428153509937
31744060,EPLEY-MARTIN 31G,107H,12,24,25,33,11428.1456030936,0.0504018363888936,5.040183638889366,23252.0,24049.247638009558,797.2476380095541,3.4287271546944527,3.4287271546944527
31743816,SCHARBAUER-DOVE 7D,4H,12,24,25,33,7456.900110036475,0.0097220960419995,0.9722096041999556,47441.0,50639.84052390543,3198.8405239054264,6.742776340940171,6.742776340940171
31743818,SCHARBAUER-DOVE 7F,6H,12,24,25,33,8993.898685451832,0.0227924879787967,2.279248797879672,37665.0,41867.91968099172,4202.919680991719,11.158687590579367,11.158687590579367
31743759,GLYNN-ATCHISON 44L,212H,12,24,25,33,4521.21724430336,0.0204146916403161,2.041469164031613,20205.0,22541.737313823294,2336.737313823298,11.56514384470823,11.56514384470823
31744407,DAVIS-LACY 31L,212H,12,24,25,33,19072.837231951147,0.045998199726938,4.599819972693803,38509.0,45539.70512436666,7030.705124366657,18.25730381045121,18.25730381045121
31744063,EPLEY-MARTIN 31H,108H,12,24,25,33,5016.275105371626,0.0046489675667013,0.4648967566701397,33117.0,39455.13514379387,6338.135143793872,19.13861504301076,19.13861504301076
31744071,DAVIS-LACY 31B,202H,12,24,25,33,13179.374967545937,0.0444034752975531,4.440347529755311,25850.0,32941.731714953974,7091.731714953974,27.43416524160145,27.43416524160145
31743549,WELCH-COX E39V,322H,12,24,25,33,38498.09127942497,0.1101353061162128,11.01353061162128,10686.0,14790.89784813526,4104.897848135261,38.41379232767416,38.41379232767416
31743568,WELCH-COX E39T,320H,12,24,25,33,4850.517521544468,-0.0119353428711826,-1.1935342871182613,26184.0,61738.62330024386,35554.62330024386,135.7875928056976,135.7875928056976
31744069,DAVIS-LACY 31D,204H,12,24,25,33,3504.9795677806687,-0.0058849714234019,-0.5884971423401991,12724.0,37419.38478357008,24695.38478357008,194.08507374701412,194.08507374701412
31744051,EPLEY-MARTIN 31E,105H,12,24,25,33,491.23641348550734,-0.1352379790316309,-13.523797903163093,51711.0,237108.0839247115,185397.0839247115,358.5254277130814,358.5254277130814
