api8,lease_name,well_no,actual_test_oil_bbl,harmonic_forecast_test_oil_bbl,harmonic_error_bbl,harmonic_percent_error,harmonic_absolute_percent_error,harmonic_qi_bbl_per_month,harmonic_di_per_month,harmonic_di_percent_per_month,harmonic_b_factor
31743757,GLYNN-ATCHISON 44M,213H,35704.0,18050.56605721506,-17653.43394278494,-49.44385487000039,49.44385487000039,5939.838838758126,0.068,6.800000000000001,1.0
31744055,DAVIS-LACY 31K,211H,49251.0,30401.491025503616,-18849.508974496384,-38.27233756572737,38.27233756572737,42274.62982924852,0.4,40.0,1.0
31744057,DAVIS-LACY 31I,209H,55854.0,40344.88743745668,-15509.11256254332,-27.767237015331613,27.767237015331613,56101.366228728446,0.4,40.0,1.0
31744070,DAVIS-LACY 31C,203H,22233.0,17139.533536298124,-5093.466463701876,-22.909487984985724,22.909487984985724,23833.28617287748,0.4,40.0,1.0
31743755,GLYNN-ATCHISON 44N,214H,46559.0,39039.78843300317,-7519.211566996833,-16.14985624046228,16.14985624046228,54286.56782763987,0.4,40.0,1.0
31744053,EPLEY-MARTIN 31D,104H,36143.0,31115.715278998345,-5027.284721001655,-13.909428439813118,13.909428439813118,43267.790523447096,0.4,40.0,1.0
31744782,FORTUNE-ASHLEY 31M,213H,34514.0,30950.75736913579,-3563.24263086421,-10.324050040169814,10.324050040169814,43038.40918912385,0.4,40.0,1.0
31744059,DAVIS-LACY 31G,207H,28855.0,26849.98832601743,-2005.011673982572,-6.948576239759389,6.948576239759389,37336.106852450925,0.4,40.0,1.0
31744061,EPLEY-MARTIN 31C,103H,46336.0,43915.83389841359,-2420.1661015864083,-5.223079466476192,5.223079466476192,61066.92662345971,0.4,40.0,1.0
31744051,EPLEY-MARTIN 31E,105H,51711.0,49895.48059866901,-1815.5194013309883,-3.51089594347622,3.51089594347622,5704.680696946907,0.001,0.1,1.0
31744067,DAVIS-LACY 31F,206H,38239.0,36971.75200650236,-1267.2479934976436,-3.3140197010843475,3.3140197010843475,51410.87089782867,0.4,40.0,1.0
31744052,EPLEY-MARTIN 31F,106H,24438.0,23683.59681155967,-754.4031884403303,-3.0870087095520518,3.0870087095520518,32933.09816265072,0.4,40.0,1.0
31744072,DAVIS-LACY 31A,201H,38234.0,37366.098298622695,-867.9017013773046,-2.269973587323598,2.269973587323598,42283.84348959035,0.319,31.9,1.0
31743171,BOHANAN-BLOCKER 3B,4H,36835.0,38413.36967903528,1578.3696790352842,4.284972659251484,4.284972659251484,53415.504598541134,0.4,40.0,1.0
31743816,SCHARBAUER-DOVE 7D,4H,47441.0,49847.56195295079,2406.5619529507894,5.072747102613329,5.072747102613329,7942.124075594276,0.015,1.5,1.0
31744064,EPLEY-MARTIN 31I,109H,41253.0,44973.46457700727,3720.464577007268,9.018652163496636,9.018652163496636,62537.60927504732,0.4,40.0,1.0
31743759,GLYNN-ATCHISON 44L,212H,20205.0,22542.93189108197,2337.931891081971,11.57105613007657,11.57105613007657,5253.536415586065,0.038,3.8,1.0
31744068,DAVIS-LACY 31E,205H,26649.0,30203.56494991215,3554.56494991215,13.338455288799391,13.338455288799391,41999.40478939222,0.4,40.0,1.0
31744066,EPLEY-MARTIN 31K,111H,38148.0,43746.24168087819,5598.241680878193,14.675059454960136,14.675059454960136,60831.10107752791,0.4,40.0,1.0
31744060,EPLEY-MARTIN 31G,107H,23252.0,26738.59506906799,3486.595069067989,14.994817947135685,14.994817947135685,37181.20955813528,0.4,40.0,1.0
31743818,SCHARBAUER-DOVE 7F,6H,37665.0,43390.36269822148,5725.362698221477,15.200750559462309,15.200750559462309,9695.049921345964,0.035,3.5000000000000004,1.0
31744063,EPLEY-MARTIN 31H,108H,33117.0,39884.75552235617,6767.755522356172,20.435895529052065,20.435895529052065,4945.286083167407,0.004,0.4,1.0
31744058,DAVIS-LACY 31H,208H,16956.0,21946.190808689447,4990.190808689447,29.430235955941537,29.430235955941537,30517.15759010321,0.4,40.0,1.0
31744407,DAVIS-LACY 31L,212H,38509.0,50130.80385653067,11621.80385653067,30.179448587422865,30.179448587422865,39580.4504905441,0.212,21.2,1.0
31744071,DAVIS-LACY 31B,202H,25850.0,36828.11133168186,10978.11133168186,42.4685157898718,42.4685157898718,20835.01275374711,0.142,14.2,1.0
31743566,WELCH-COX E39A,301H,8763.0,13208.19864250848,4445.19864250848,50.7269045133913,50.7269045133913,18366.589581241733,0.4,40.0,1.0
31744056,DAVIS-LACY 31J,210H,15907.0,24094.828831127285,8187.828831127284,51.47311769112519,51.47311769112519,33504.93463562407,0.4,40.0,1.0
31743568,WELCH-COX E39T,320H,26184.0,53538.34662726517,27354.34662726517,104.46970144846156,104.46970144846156,6121.17909049982,0.001,0.1,1.0
31744069,DAVIS-LACY 31D,204H,12724.0,34694.83250750712,21970.83250750712,172.67237116871362,172.67237116871362,3966.750874319901,0.001,0.1,1.0
31743549,WELCH-COX E39V,322H,10686.0,31743.181428796204,21057.181428796204,197.05391567280745,197.05391567280745,44140.31020318372,0.4,40.0,1.0
