api8,well_name,reservoir_or_conduit_target,historical_cumulative_oil_bbl,exponential_technical_recoverable_oil_bbl,hyperbolic_technical_recoverable_oil_bbl,harmonic_technical_recoverable_oil_bbl,linear_regression_ml_technical_recoverable_oil_bbl,naive_last_rate_technical_recoverable_oil_bbl,trailing_3mo_technical_recoverable_oil_bbl,trailing_6mo_technical_recoverable_oil_bbl,ml_minus_hyperbolic_dca_bbl,ml_to_hyperbolic_dca_ratio
31743171,BOHANAN-BLOCKER 3B 4H,SPRABERRY (TREND AREA),326038.0,343706.996089001,347532.9959862177,490108.5331230951,372584.2899345386,377174.2899345386,382062.623267872,388927.9566012053,25051.293948320905,1.0720832100481026
31743549,WELCH-COX E39V 322H,SPRABERRY (TREND AREA),305865.0,314593.0954786528,316569.63677999127,441445.9381879908,319461.2363517677,319461.2363517677,319461.2363517677,320346.069685101,2891.5995717764017,1.0091341658700705
31743566,WELCH-COX E39A 301H,SPRABERRY (TREND AREA),132224.0,139111.26844882028,140275.097546446,188638.63404484463,149966.1380215155,149966.1380215155,149966.1380215155,151192.97135484885,9691.040475069516,1.0690859649686628
31743568,WELCH-COX E39T 320H,SPRABERRY (TREND AREA),344557.0,,839947.793361976,839294.6174780319,361083.1816279114,361083.1816279114,361083.1816279114,364965.848294578,-478864.61173406465,0.42988764835328563
31743755,GLYNN-ATCHISON 44N 214H,SPRABERRY (TREND AREA),285178.0,299002.9246496006,321322.9979438193,451924.0822816452,324453.851155353,328625.851155353,333195.851155353,340235.351155353,3130.8532115336857,1.0097436325179596
31743757,GLYNN-ATCHISON 44M 213H,SPRABERRY (TREND AREA),168346.0,247418.79505540695,266176.892836927,258430.815882286,203185.17539250336,206231.17539250336,209350.5087258367,214917.5087258367,-62991.71744442367,0.7633464093255627
31743759,GLYNN-ATCHISON 44L 212H,SPRABERRY (TREND AREA),218605.0,311445.65546591947,351655.9056914359,342740.4375976857,246752.0967686537,248776.0967686537,250998.0967686537,254329.76343532032,-104903.80892278222,0.7016862016961798
31743816,SCHARBAUER-DOVE 7D 4H,SPRABERRY (TREND AREA),300628.0,616733.4409770735,633225.1064111643,631635.1120582165,344164.65129082085,348656.65129082085,353520.65129082085,360929.98462415417,-289060.4551203434,0.5435107480835554
31743818,SCHARBAUER-DOVE 7F 6H,SPRABERRY (TREND AREA),280152.0,438721.27187512745,436713.610261603,522841.49310537765,319713.197062758,324448.197062758,329432.5303960913,334938.0303960913,-117000.41319884505,0.7320889240691201
31744051,EPLEY-MARTIN 31E 105H,SPRABERRY (TREND AREA),298635.0,,760318.3218821115,759709.5895118022,352027.4124099075,356449.4124099075,361718.7457432408,369441.5790765741,-408290.909472204,0.4630000386397237
31744052,EPLEY-MARTIN 31F 106H,SPRABERRY (TREND AREA),216548.0,244084.64044434915,247915.43280375117,317704.97705285554,248785.63532598267,250634.63532598267,252903.63532598267,256567.30199264933,870.2025222314987,1.003510078063274
31744053,EPLEY-MARTIN 31D 104H,SPRABERRY (TREND AREA),289424.0,322815.5788142578,326423.87712098,422324.9154101345,332359.013398552,335806.013398552,339078.34673188534,344563.84673188534,5935.136277572019,1.0181822982127386
31744055,DAVIS-LACY 31K 211H,SPRABERRY (TREND AREA),262086.0,269887.80472135433,275636.00925683265,391936.3328910935,312528.264601188,317337.264601188,322938.9312678547,329901.9312678547,36892.25534435536,1.133844106377189
31744056,DAVIS-LACY 31J 210H,SPRABERRY (TREND AREA),243014.0,250178.6958762286,252053.63899630832,345927.4242807739,272482.384521331,273814.384521331,275685.7178546643,278804.384521331,20428.745525022678,1.0810491989180204
31744057,DAVIS-LACY 31I 209H,SPRABERRY (TREND AREA),434886.0,487786.91682611866,576977.3045734719,607206.3990163723,482087.94463702606,486715.94463702606,491907.94463702606,499665.27797035937,-94889.35993644584,0.8355405677410614
31744058,DAVIS-LACY 31H 208H,SPRABERRY (TREND AREA),145934.0,151016.139117045,152083.60838520306,239670.19799795895,177558.49295881396,179433.49295881396,181017.492958814,183598.65962548065,25474.884573610907,1.1675057874027237
31744059,DAVIS-LACY 31G 207H,SPRABERRY (TREND AREA),250609.0,269289.3413701625,310487.8791611679,365290.2147907664,289743.98429765896,293264.98429765896,296055.3176309923,300038.98429765896,-20743.894863508933,0.9331893569579854
31744060,EPLEY-MARTIN 31G 107H,SPRABERRY (TREND AREA),211245.0,252620.8683143483,325062.56440178707,325450.4338007954,249352.39468579265,251709.39468579265,253682.39468579265,256999.89468579265,-75710.16971599442,0.7670904680908922
31744061,EPLEY-MARTIN 31C 103H,SPRABERRY (TREND AREA),420319.0,468249.0942357532,472539.5722522276,607891.5649809476,467851.1859444125,472064.1859444125,475791.8526110792,482693.51927774586,-4688.38630781509,0.9900783202442301
31744063,EPLEY-MARTIN 31H 108H,SPRABERRY (TREND AREA),217058.0,524237.1915257981,518829.50313028257,547948.4600438413,255628.78936194215,258756.78936194215,261443.78936194215,266553.45602860884,-263200.7137683404,0.4927028779582559
31744064,EPLEY-MARTIN 31I 109H,SPRABERRY (TREND AREA),400302.0,424230.95241306047,430704.4254483516,592391.8991990625,438480.7685555221,441132.7685555221,443943.4352221888,450178.4352221888,7776.343107170484,1.0180549412722555
31744066,EPLEY-MARTIN 31K 111H,SPRABERRY (TREND AREA),344225.0,363478.1090901681,366742.16030362033,531073.2055775145,389533.1348834544,392905.1348834544,395967.80155012105,401719.4682167877,22790.97457983409,1.0621444083793523
31744067,DAVIS-LACY 31F 206H,SPRABERRY (TREND AREA),312514.0,322121.5333772472,334516.47539597657,470427.12016847887,360572.3072340938,364741.3072340938,369101.6405674271,375382.1405674271,26055.831838117214,1.0778910270630893
31744068,DAVIS-LACY 31E 205H,SPRABERRY (TREND AREA),353189.0,371506.5436920077,410596.7608017332,482193.9543936435,385962.5301080775,388008.5301080775,390337.8634414109,395092.6967747442,-24634.23069365567,0.9400038357692965
31744069,DAVIS-LACY 31D 204H,SPRABERRY (TREND AREA),179088.0,,498822.27066530136,499696.30890175456,203256.8840335009,203358.8840335009,203419.5507001675,205225.5507001675,-295565.38663180044,0.4074735551851127
