api8,well_name,lease_name,well_no,field_name,historical_cumulative_oil_bbl,linear_regression_ml_technical_recoverable_oil_bbl,naive_last_rate_technical_recoverable_oil_bbl,trailing_3mo_technical_recoverable_oil_bbl,trailing_6mo_technical_recoverable_oil_bbl
31744057,DAVIS-LACY 31I 209H,DAVIS-LACY 31I,209H,SPRABERRY (TREND AREA),434886.0,482087.94463702606,486715.94463702606,491907.94463702606,499665.27797035937
31744061,EPLEY-MARTIN 31C 103H,EPLEY-MARTIN 31C,103H,SPRABERRY (TREND AREA),420319.0,467851.1859444125,472064.1859444125,475791.8526110792,482693.51927774586
31744064,EPLEY-MARTIN 31I 109H,EPLEY-MARTIN 31I,109H,SPRABERRY (TREND AREA),400302.0,438480.7685555221,441132.7685555221,443943.43522218877,450178.43522218877
31744407,DAVIS-LACY 31L 212H,DAVIS-LACY 31L,212H,SPRABERRY (TREND AREA),376732.0,422801.1463076119,428246.1463076119,432459.1463076119,437305.9796409452
31744066,EPLEY-MARTIN 31K 111H,EPLEY-MARTIN 31K,111H,SPRABERRY (TREND AREA),344225.0,389533.1348834544,392905.1348834544,395967.80155012105,401719.46821678773
31744068,DAVIS-LACY 31E 205H,DAVIS-LACY 31E,205H,SPRABERRY (TREND AREA),353189.0,385962.5301080775,388008.5301080775,390337.8634414109,395092.6967747442
31743171,BOHANAN-BLOCKER 3B 4H,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),326038.0,372584.2899345386,377174.2899345386,382062.62326787197,388927.9566012053
31743568,WELCH-COX E39T 320H,WELCH-COX E39T,320H,SPRABERRY (TREND AREA),344557.0,361083.1816279114,361083.1816279114,361083.1816279114,364965.848294578
31744067,DAVIS-LACY 31F 206H,DAVIS-LACY 31F,206H,SPRABERRY (TREND AREA),312514.0,360572.3072340938,364741.3072340938,369101.6405674271,375382.1405674271
31744051,EPLEY-MARTIN 31E 105H,EPLEY-MARTIN 31E,105H,SPRABERRY (TREND AREA),298635.0,352027.4124099075,356449.4124099075,361718.7457432408,369441.5790765741
31743816,SCHARBAUER-DOVE 7D 4H,SCHARBAUER-DOVE 7D,4H,SPRABERRY (TREND AREA),300628.0,344164.65129082085,348656.65129082085,353520.65129082085,360929.98462415417
31744072,DAVIS-LACY 31A 201H,DAVIS-LACY 31A,201H,SPRABERRY (TREND AREA),301751.0,343052.4451232236,346906.4451232236,350845.4451232236,356742.77845655696
31744053,EPLEY-MARTIN 31D 104H,EPLEY-MARTIN 31D,104H,SPRABERRY (TREND AREA),289424.0,332359.013398552,335806.013398552,339078.34673188534,344563.84673188534
31743755,GLYNN-ATCHISON 44N 214H,GLYNN-ATCHISON 44N,214H,SPRABERRY (TREND AREA),285178.0,324453.851155353,328625.851155353,333195.851155353,340235.351155353
31743818,SCHARBAUER-DOVE 7F 6H,SCHARBAUER-DOVE 7F,6H,SPRABERRY (TREND AREA),280152.0,319713.197062758,324448.197062758,329432.5303960913,334938.0303960913
31743549,WELCH-COX E39V 322H,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),305865.0,319461.2363517677,319461.2363517677,319461.2363517677,320346.069685101
31744071,DAVIS-LACY 31B 202H,DAVIS-LACY 31B,202H,SPRABERRY (TREND AREA),283432.0,315758.37310623744,317526.37310623744,318279.70643957076,321168.87310623744
31744055,DAVIS-LACY 31K 211H,DAVIS-LACY 31K,211H,SPRABERRY (TREND AREA),262086.0,312528.264601188,317337.264601188,322938.9312678547,329901.9312678547
31744782,FORTUNE-ASHLEY 31M 213H,FORTUNE-ASHLEY 31M,213H,SPRABERRY (TREND AREA),249941.0,292156.2015960191,296164.2015960191,299920.8682626858,305564.53492935246
31744059,DAVIS-LACY 31G 207H,DAVIS-LACY 31G,207H,SPRABERRY (TREND AREA),250609.0,289743.98429765896,293264.98429765896,296055.3176309923,300038.98429765896
31744056,DAVIS-LACY 31J 210H,DAVIS-LACY 31J,210H,SPRABERRY (TREND AREA),243014.0,272482.384521331,273814.384521331,275685.7178546643,278804.384521331
