api8,lease_name,well_no,field_name,month_on_production,linear_regression_ml_forecast_oil_bbl,naive_last_rate_forecast_oil_bbl,trailing_3mo_forecast_oil_bbl,trailing_6mo_forecast_oil_bbl
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),34,4026.0729243780997,4590.0,4720.666666666667,4619.166666666667
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),35,3685.2423415954217,4026.0729243780997,4569.690974792699,4556.34548739635
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),36,3432.980722029968,3685.2423415954217,4100.4384219911735,4385.219210995587
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),37,3230.724049442165,3432.980722029968,3714.765329334497,4217.715998000582
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),38,3048.6517250280795,3230.724049442165,3449.649037689185,4009.6700062409423
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),39,2848.670317669559,3048.6517250280795,3237.4521655000704,3668.9452937456226
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),40,2650.807954510221,2848.670317669559,3042.682030713268,3378.7236800238825
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),41,2467.825337844324,2650.807954510221,2849.3766657359533,3149.512851712569
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),42,2298.722124553362,2467.825337844324,2655.7678700080346,2946.6100177540525
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),43,2140.384508798871,2298.722124553362,2472.451805635969,2757.5669181746184
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),44,1989.7340672854518,2140.384508798871,2302.310657065519,2575.8436614007364
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),45,1844.6034308240771,1989.7340672854518,2142.9469002125616,2399.357385110298
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),46,1704.6511711441378,1844.6034308240771,1991.5740023028,2232.0129039693843
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),47,1569.770256996693,1704.6511711441378,1846.3295564178889,2074.3201067417044
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),48,1439.5177638757011,1569.770256996693,1706.3416196549695,1924.6442599337654
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),49,1313.30363515852,1439.5177638757011,1571.3130640055106,1781.4435331541554
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),50,1190.5518093083426,1313.30363515852,1440.863885343638,1643.5967208807633
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),51,1070.7842195972878,1190.5518093083426,1314.457736114188,1510.3996778845785
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),52,953.6383458158477,1070.7842195972878,1191.5465546880503,1381.4298093467803
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),53,838.8143613086411,953.6383458158477,1071.6581249071594,1256.261005125399
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),54,726.0407204742144,838.8143613086411,954.4123089072588,1134.4350225107235
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),55,615.0688814475673,726.0407204742144,839.4978091995678,1015.522181943809
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),56,505.67621123575805,615.0688814475673,726.6413210768075,899.1497229919834
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),57,397.6677336646478,505.67621123575805,615.5952710525132,785.0037899798859
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),58,290.8744264743607,397.6677336646478,506.1376087826577,672.8177089911128
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),59,185.1489729575976,290.8744264743607,398.0727904582555,562.3570557675316
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),60,80.36192111970081,185.1489729575976,291.2303776988687,453.41282437569106
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),61,0.0,80.36192111970081,185.4617735172197,345.7996911499387
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),62,0.0,0.0,88.50363135909947,243.28821090867748
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),63,0.0,0.0,26.78730703990027,159.0088423693845
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),64,0.0,0.0,0.0,92.73088675860986
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),65,0.0,0.0,0.0,44.251815679549736
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),66,0.0,0.0,0.0,13.393653519950135
